model,quality_avg,correctness_avg,grammar_avg,completeness_avg,overall_avg,latency_seconds_avg,latency_seconds_per_message_avg,judgement_count
openaiO3,0.9616666666666666,0.9916666666666667,0.9966666666666667,0.8666666666666667,0.9541666666666667,17.973666666666666,8.986833333333333,6
openaiGpt5,0.9416666666666668,0.9883333333333333,0.955,0.855,0.935,72.00816666666667,36.004083333333334,6
gpt51,0.94,0.9516666666666667,0.9683333333333333,0.8583333333333334,0.9295833333333333,14.379166666666668,7.189583333333334,6
openaiGpt5Mini,0.9166666666666666,0.9516666666666667,0.9616666666666666,0.8333333333333334,0.9158333333333334,45.03133333333333,22.515666666666664,6
openaiGpt4oMini,0.9266666666666667,0.9433333333333334,0.8833333333333333,0.8916666666666666,0.91125,14.716000000000001,3.7513888888888887,6
grok4NotSoFast,0.8866666666666667,0.9666666666666667,0.9500000000000001,0.7583333333333333,0.8904166666666667,56.185833333333335,28.092916666666667,6
grok4Fastest,0.8583333333333334,0.9349999999999999,0.855,0.8383333333333334,0.8716666666666667,16.313,3.830298611111111,6
anthropicClaude4Sonnet,0.8816666666666667,0.955,0.7933333333333333,0.7999999999999999,0.8574999999999999,28.479833333333332,9.828958333333333,6
anthropicClaude45Haiku,0.8283333333333333,0.9283333333333333,0.65,0.895,0.8254166666666666,34.11566666666666,5.176125,6
anthropicClaude41Opus,0.7616666666666667,0.7666666666666666,0.8099999999999999,0.6466666666666666,0.74625,29.486666666666668,9.85813888888889,6
anthropicClaude45Sonnet,0.7516666666666666,0.7833333333333332,0.7999999999999999,0.6116666666666667,0.7366666666666667,23.876499999999997,9.031416666666667,6
openaiGpt5Nano,0.575,0.7799999999999999,0.8716666666666666,0.5166666666666667,0.6858333333333334,91.01483333333333,24.202375,6
vertexGemini25Flash001,0.8833333333333333,0.655,0.4383333333333333,0.75,0.6816666666666666,27.174666666666667,10.73826388888889,6
grok4Fast,0.5333333333333333,0.7333333333333334,0.7683333333333332,0.3333333333333333,0.5920833333333333,22.9295,10.386875,6
gptOss120b,0.545,0.6,0.3333333333333333,0.5666666666666667,0.51125,7.016166666666667,4.1919375,6
openaiGpt4o,0.48,0.49666666666666665,0.48666666666666664,0.43333333333333335,0.4741666666666667,4.011833333333333,2.9486666666666665,6
